campanya,municipi,cultiu,ha,parcels
2020,ALBIOL (L'),VINYES,86.6484,112
2020,ALBIOL (L'),AMETLLERS,47.5638,38
2020,ALBIOL (L'),AVELLANER,31.7545,27
2020,ALBIOL (L'),OLIVERES,13.0198,107
2020,ALBIOL (L'),GUARET NO SIE/ SUP. LLIURE SE*,8.6568,53
2020,ALBIOL (L'),GUARET SIE/ SUP. LLIURE SEMBRA,5.4395,2
2020,ALBIOL (L'),ORDI,1.8464,1
2020,ALBIOL (L'),POMERES,0.9217,1
2020,ALBIOL (L'),ALFALS NO SIE,0.8483,6
2020,ALBIOL (L'),GARROFER,0.7903,12
2020,ALBIOL (L'),PRESSEGUERS,0.6936,1
2020,ALBIOL (L'),ALBERCOQUERS,0.4985,1
2020,ALBIOL (L'),PERERES,0.4613,1
2020,ALBIOL (L'),PRUNERES,0.4544,1
2020,ALBIOL (L'),RAÏM DE TAULA,0.3066,1
2020,ALBIOL (L'),NECTARINS,0.2345,1
2020,ALBIOL (L'),ENCIAM,0.2073,1
2020,ALBIOL (L'),HORTA,0.1646,2
2020,ALBIOL (L'),MELÓ,0.1284,1
2020,ALBIOL (L'),ALTRES FRUITERS,0.117,3
2020,ALBIOL (L'),GERDS,0.0616,1
2020,ALBIOL (L'),GROSELLA,0.014,1
2020,ALEIXAR (L'),AVELLANER,490.8792,429
2020,ALEIXAR (L'),OLIVERES,179.002,606
2020,ALEIXAR (L'),AMETLLERS,130.5428,137
2020,ALEIXAR (L'),GARROFER,17.0571,58
2020,ALEIXAR (L'),GUARET NO SIE/ SUP. LLIURE SE*,12.1063,42
2020,ALEIXAR (L'),"CEBES, CALÇOTS, PORROS I ALLS",4.28,8
2020,ALEIXAR (L'),NOGUERES,1.4688,4
2020,ALEIXAR (L'),MONGETA NO SIE,0.9473,1
2020,ALEIXAR (L'),TOMÀQUET,0.6575,3
2020,ALEIXAR (L'),PRESSEGUERS,0.5451,3
2020,ALEIXAR (L'),CIRERERS,0.5017,2
2020,ALEIXAR (L'),ALTRES FRUITERS,0.3626,10
2020,ALEIXAR (L'),ENCIAM,0.3591,6
2020,ALEIXAR (L'),ALBERCOQUERS,0.3306,1
2020,ALEIXAR (L'),VINYES,0.1958,4
2020,ALEIXAR (L'),HORTA,0.1738,6
2020,ALEIXAR (L'),PATATA,0.0874,3
2020,ALEIXAR (L'),ALFALS NO SIE,0.0617,1
2020,ALEIXAR (L'),FIGUERA,0.0242,1
2020,ALFORJA,AVELLANER,249.9635,294
2020,ALFORJA,OLIVERES,82.8453,413
2020,ALFORJA,AMETLLERS,55.9769,123
2020,ALFORJA,ORDI,6.775,5
2020,ALFORJA,VINYES,6.3172,15
2020,ALFORJA,GUARET NO SIE/ SUP. LLIURE SE*,5.9992,20
2020,ALFORJA,NOGUERES,2.1062,1
2020,ALFORJA,ALFALS NO SIE,1.0988,2
2020,ALFORJA,CIRERERS,0.4423,2
2020,ALFORJA,FAVES I FAVONS NO SIE,0.4394,5
2020,ALFORJA,HORTA,0.4198,11
2020,ALFORJA,ENCIAM,0.3349,3
2020,ALFORJA,KIWI,0.313,1
2020,ALFORJA,BLEDA,0.1892,3
2020,ALFORJA,CODONY,0.178,1
2020,ALFORJA,GARROFER,0.1379,2
2020,ALFORJA,TARONGER,0.1126,2
2020,ALFORJA,ALTRES FRUITERS,0.1107,2
2020,ALFORJA,PERERES,0.0632,1
2020,ALMOSTER,AVELLANER,44.3105,55
2020,ALMOSTER,OLIVERES,37.4005,83
2020,ALMOSTER,"CEBES, CALÇOTS, PORROS I ALLS",3.4595,4
2020,ALMOSTER,PRESSEGUERS,2.3435,4
2020,ALMOSTER,AMETLLERS,1.7398,8
2020,ALMOSTER,ORDI,1.4162,1
2020,ALMOSTER,GUARET NO SIE/ SUP. LLIURE SE*,0.8015,5
2020,ALMOSTER,GARROFER,0.459,3
2020,ALMOSTER,CIRERERS,0.2983,2
2020,ALMOSTER,PATATA,0.0973,1
2020,ALMOSTER,TARONGER,0.0571,3
2020,ALMOSTER,ENCIAM,0.0432,1
2020,ALMOSTER,TOMÀQUET,0.0167,1
2020,ALMOSTER,ALTRES FRUITERS,0.0121,1
2020,ARBOLI,AVELLANER,22.4406,28
2020,ARBOLI,CIVADA,16.6869,13
2020,ARBOLI,AMETLLERS,4.2387,4
2020,ARBOLI,VINYES,2.6153,4
2020,ARBOLI,OLIVERES,0.9865,5
2020,ARBOLI,PATATA,0.9728,2
2020,ARBOLI,ENCIAM,0.8837,2
2020,ARBOLI,COL I COLIFLOR,0.6237,1
2020,ARBOLI,TREPADELLA SIE,0.6036,3
2020,ARBOLI,"CEBES, CALÇOTS, PORROS I ALLS",0.588,1
2020,ARBOLI,CARABASSA,0.4048,1
2020,ARBOLI,TRITICALE,0.3038,1
2020,ARBOLI,SÍNDRIA,0.1133,1
2020,ARBOLI,HORTA,0.0798,1
2020,ARBOLI,GUARET SIE/ SUP. LLIURE SEMBRA,0.0623,1
2020,BORGES DEL CAMP (LES),OLIVERES,67.2339,155
2020,BORGES DEL CAMP (LES),AVELLANER,38.8616,59
2020,BORGES DEL CAMP (LES),AMETLLERS,5.1477,16
2020,BORGES DEL CAMP (LES),GUARET NO SIE/ SUP. LLIURE SE*,2.7745,13
2020,BORGES DEL CAMP (LES),COL I COLIFLOR,0.8042,4
2020,BORGES DEL CAMP (LES),ENCIAM,0.714,4
2020,BORGES DEL CAMP (LES),"CEBES, CALÇOTS, PORROS I ALLS",0.5831,3
2020,BORGES DEL CAMP (LES),TOMÀQUET,0.5277,3
2020,BORGES DEL CAMP (LES),LLIMONER,0.3409,1
2020,BORGES DEL CAMP (LES),BLEDA,0.2485,1
2020,BORGES DEL CAMP (LES),CIRERERS,0.1915,1
2020,BORGES DEL CAMP (LES),CARABASSA,0.17,1
2020,BORGES DEL CAMP (LES),ESPINAC,0.1567,1
2020,BORGES DEL CAMP (LES),TARONGER,0.1174,1
2020,BORGES DEL CAMP (LES),ALTRES FRUITERS,0.0798,2
2020,BORGES DEL CAMP (LES),ALBERGÍNIA,0.0659,1
2020,BORGES DEL CAMP (LES),PRESSEGUERS,0.041,1
2020,BORGES DEL CAMP (LES),CARBASSÓ,0.0333,1
2020,BOTARELL,OLIVERES,424.3488,460
2020,BOTARELL,AVELLANER,66.8133,119
2020,BOTARELL,AMETLLERS,28.443,60
2020,BOTARELL,GUARET NO SIE/ SUP. LLIURE SE*,24.9221,72
2020,BOTARELL,GARROFER,12.8171,47
2020,BOTARELL,VINYES,12.5804,10
2020,BOTARELL,ORDI,5.3188,5
2020,BOTARELL,CIVADA,4.0128,4
2020,BOTARELL,PRESSEGUERS,3.9119,5
2020,BOTARELL,"CEBES, CALÇOTS, PORROS I ALLS",2.6036,3
2020,BOTARELL,COL I COLIFLOR,1.0011,1
2020,BOTARELL,TARONGER,0.862,10
2020,BOTARELL,ALTRES FRUITERS,0.7328,15
2020,BOTARELL,CODONY,0.5934,1
2020,BOTARELL,PRUNERES,0.5397,4
2020,BOTARELL,ENCIAM,0.3292,4
2020,BOTARELL,HORTA,0.2835,5
2020,BOTARELL,LLIMONER,0.0482,1
2020,BOTARELL,CIRERERS,0.0251,1
2020,CAMBRILS,OLIVERES,338.030800000001,424
2020,CAMBRILS,ORDI,105.4631,66
2020,CAMBRILS,GUARET SIE/ SUP. LLIURE SEMBRA,68.0795,40
2020,CAMBRILS,TRITICALE,66.0901,17
2020,CAMBRILS,SÍNDRIA,59.1883,20
2020,CAMBRILS,GUARET NO SIE/ SUP. LLIURE SE*,57.194,97
2020,CAMBRILS,COL I COLIFLOR,54.3865,31
2020,CAMBRILS,"CEBES, CALÇOTS, PORROS I ALLS",54.0026,42
2020,CAMBRILS,ENCIAM,45.0798,22
2020,CAMBRILS,AVELLANER,42.9532,35
2020,CAMBRILS,VINYES,32.451,16
2020,CAMBRILS,GARROFER,25.1504,118
2020,CAMBRILS,CARXOFA,24.0422,23
2020,CAMBRILS,CLEMENTINA,22.9643,24
2020,CAMBRILS,TARONGER,22.8831,35
2020,CAMBRILS,VIVER ARBRE I ARBUST,21.2923,10
2020,CAMBRILS,FONOLL,19.3205,10
2020,CAMBRILS,CARABASSA,18.7809,8
2020,CAMBRILS,SOIA SIE,17.5186,2
2020,CAMBRILS,JULIVERT,15.0291,17
2020,CAMBRILS,PATATA,12.2563,10
2020,CAMBRILS,BLAT TOU,11.3712,6
2020,CAMBRILS,TOMÀQUET,11.1368,28
2020,CAMBRILS,CIVADA,10.9847,12
2020,CAMBRILS,PASTANAGA,9.8317,5
2020,CAMBRILS,BLAT DUR,9.593,8
2020,CAMBRILS,CARBASSÓ,9.4966,11
2020,CAMBRILS,PRESSEGUERS,7.0107,10
2020,CAMBRILS,PÈSOLS SIE,5.2888,2
2020,CAMBRILS,PEBROT,5.0575,8
2020,CAMBRILS,FAVES I FAVONS SIE,4.605,2
2020,CAMBRILS,MELÓ,4.5947,4
2020,CAMBRILS,AMETLLERS,3.5559,12
2020,CAMBRILS,MONGETA NO SIE,2.9785,3
2020,CAMBRILS,"ENDÍVIA, ESCAROLA I XICOIRA",2.8654,2
2020,CAMBRILS,MENTA,2.799,3
2020,CAMBRILS,RAY-GRASS,2.389,5
2020,CAMBRILS,CORIANDRE,2.3644,2
2020,CAMBRILS,BLEDA,2.1272,2
2020,CAMBRILS,API,2.113,2
2020,CAMBRILS,RAVE,2.067,1
2020,CAMBRILS,ESPECIES AROMÀTIQUES HERBÀCI,1.8433,2
2020,CAMBRILS,ALBERGÍNIA,1.6296,5
2020,CAMBRILS,ALTRES FRUITERS,1.5449,25
2020,CAMBRILS,COGOMBRE,1.5062,3
2020,CAMBRILS,ALFÀBREGA,1.3507,1
2020,CAMBRILS,FAVES I FAVONS NO SIE,1.3346,3
2020,CAMBRILS,ALFALS SIE,0.9821,3
2020,CAMBRILS,PRUNERES,0.7532,7
2020,CAMBRILS,MONGETA SIE,0.7407,1
2020,CAMBRILS,MADUIXA,0.5318,1
2020,CAMBRILS,MANDARINER HÍBRID,0.5294,1
2020,CAMBRILS,ALBERCOQUERS,0.3419,4
2020,CAMBRILS,LLIMONER,0.3404,3
2020,CAMBRILS,PÈSOLS NO SIE,0.2931,1
2020,CAMBRILS,MAGRANER,0.2773,3
2020,CAMBRILS,PERERES,0.26,3
2020,CAMBRILS,HORTA,0.2075,3
2020,CAMBRILS,FIGUERA,0.1261,1
2020,CAMBRILS,NECTARINS,0.1064,1
2020,CAMBRILS,CIRERERS,0.0822,1
2020,CAMBRILS,POMERES,0.0784,1
2020,CAMBRILS,NESPRER,0.0232,1
2020,CAPAFONTS,AVELLANER,29.4073,42
2020,CAPAFONTS,CIVADA,2.2656,3
2020,CAPAFONTS,AMETLLERS,2.0998,4
2020,CAPAFONTS,GUARET NO SIE/ SUP. LLIURE SE*,1.2814,6
