campanya,municipi,cultiu_dominant,ha_dominant,parcels
2020,ALBIOL (L'),VINYES,86.6484,112
2020,ALEIXAR (L'),AVELLANER,490.8792,429
2020,ALFORJA,AVELLANER,249.9635,294
2020,ALMOSTER,AVELLANER,44.3105,55
2020,ARBOLI,AVELLANER,22.4406,28
2020,BORGES DEL CAMP (LES),OLIVERES,67.2339,155
2020,BOTARELL,OLIVERES,424.3488,460
2020,CAMBRILS,OLIVERES,338.030800000001,424
2020,CAPAFONTS,AVELLANER,29.4073,42
2020,CASTELLVELL DEL CAMP,AVELLANER,23.5882,24
2020,COLLDEJOU,AVELLANER,35.0911,51
2020,DUESAIGÜES,OLIVERES,14.3389,57
2020,FEBRO (LA),AVELLANER,12.0738,19
2020,MASPUJOLS,OLIVERES,24.3098,80
2020,MONT-ROIG DEL CAMP,OLIVERES,684.0631,801
2020,MONTBRIO DEL CAMP,OLIVERES,373.9979,289
2020,PRADES,AVELLANER,162.9775,148
2020,PRATDIP,AVELLANER,59.3006,115
2020,REUS,OLIVERES,464.322,865
2020,RIUDECANYES,OLIVERES,228.5508,432
2020,RIUDECOLS,AVELLANER,117.191,187
2020,RIUDOMS,OLIVERES,585.6605,1157
2020,SELVA DEL CAMP (LA),AVELLANER,969.1817,516
2020,VANDELLOS I L'HOSPITALET DE L'INFANT,AVELLANER,100.0417,120
2020,VILANOVA D'ESCORNALBOU,OLIVERES,90.0545999999999,165
2020,VILAPLANA,AVELLANER,78.5665,109
2020,VINYOLS I ELS ARCS,OLIVERES,198.0666,302
2021,ALBIOL (L'),VINYES,86.995,130
2021,ALEIXAR (L'),AVELLANER,496.9069,559
2021,ALFORJA,AVELLANER,246.4979,330
2021,ALMOSTER,AVELLANER,46.1099,65
2021,ARBOLI,AVELLANER,22.5392,30
2021,BORGES DEL CAMP (LES),OLIVERES,60.7507,148
2021,BOTARELL,OLIVERES,412.0004,463
2021,CAMBRILS,OLIVERES,337.4379,451
2021,CAPAFONTS,AVELLANER,27.1808,37
2021,CASTELLVELL DEL CAMP,OLIVERES,21.216,51
2021,COLLDEJOU,AVELLANER,33.3533,48
2021,DUESAIGÜES,OLIVERES,17.3091,63
2021,FEBRO (LA),AVELLANER,11.5162,17
2021,MASPUJOLS,OLIVERES,24.287,81
2021,MONT-ROIG DEL CAMP,OLIVERES,693.6284,838
2021,MONTBRIO DEL CAMP,OLIVERES,370.0545,303
2021,PRADES,AVELLANER,165.3986,164
2021,PRATDIP,AVELLANER,56.8663,108
2021,REUS,OLIVERES,460.8653,892
2021,RIUDECANYES,OLIVERES,224.1187,428
2021,RIUDECOLS,AVELLANER,109.3322,186
2021,RIUDOMS,OLIVERES,557.2288,1116
2021,SELVA DEL CAMP (LA),AVELLANER,971.153400000001,881
2021,VANDELLOS I L'HOSPITALET DE L'INFANT,AVELLANER,98.4729,134
2021,VILANOVA D'ESCORNALBOU,OLIVERES,87.8272,164
2021,VILAPLANA,AVELLANER,79.5495,134
2021,VINYOLS I ELS ARCS,OLIVERES,192.4136,324
2022,ALBIOL (L'),VINYES,80.1424,104
2022,ALEIXAR (L'),AVELLANER,495.5308,528
2022,ALFORJA,AVELLANER,244.7525,335
2022,ALMOSTER,AVELLANER,46.6348,76
2022,ARBOLI,AVELLANER,22.6858,30
2022,BORGES DEL CAMP (LES),OLIVERES,63.1762,143
2022,BOTARELL,OLIVERES,428.701,464
2022,CAMBRILS,OLIVERES,341.536900000001,484
2022,CAPAFONTS,AVELLANER,28.6075,39
2022,CASTELLVELL DEL CAMP,OLIVERES,23.3433,81
2022,COLLDEJOU,AVELLANER,35.814,51
2022,DUESAIGÜES,OLIVERES,17.6992,63
2022,FEBRO (LA),AVELLANER,11.6405,21
2022,MASPUJOLS,OLIVERES,25.8068,88
2022,MONT-ROIG DEL CAMP,OLIVERES,691.6811,837
2022,MONTBRIO DEL CAMP,OLIVERES,366.9663,295
2022,PRADES,AVELLANER,156.6632,161
2022,PRATDIP,AVELLANER,52.4308,104
2022,REUS,OLIVERES,462.1632,938
2022,RIUDECANYES,OLIVERES,220.233,428
2022,RIUDECOLS,AVELLANER,102.315,177
2022,RIUDOMS,OLIVERES,615.783999999999,1208
2022,SELVA DEL CAMP (LA),AVELLANER,944.023100000001,830
2022,VANDELLOS I L'HOSPITALET DE L'INFANT,AVELLANER,98.0902,133
2022,VILANOVA D'ESCORNALBOU,OLIVERES,92.3538,165
2022,VILAPLANA,AVELLANER,76.9591,126
2022,VINYOLS I ELS ARCS,OLIVERES,197.9493,327
2023,ALBIOL (L'),VINYA,82.0299,104
2023,ALEIXAR (L'),AVELLANER,485.3196,559
2023,ALFORJA,AVELLANER,231.3321,331
2023,ALMOSTER,AVELLANER,45.0312,68
2023,ARBOLI,AVELLANER,21.6001,36
2023,BORGES DEL CAMP (LES),OLIVERA,45.2446,108
2023,BOTARELL,OLIVERA,410.5729,453
2023,CAMBRILS,OLIVERA,323.5923,459
2023,CAPAFONTS,AVELLANER,27.4688,37
2023,CASTELLVELL DEL CAMP,OLIVERA,23.2676,94
2023,COLLDEJOU,AVELLANER,33.9679,47
2023,DUESAIGÜES,OLIVERA,17.8523,59
2023,FEBRO (LA),AVELLANER,12.5209,25
2023,MASPUJOLS,OLIVERA,25.579,87
2023,MONT-ROIG DEL CAMP,OLIVERA,641.7847,784
2023,MONTBRIO DEL CAMP,OLIVERA,347.3989,317
2023,PRADES,AVELLANER,140.6078,158
2023,PRATDIP,AVELLANER,49.3796,96
2023,REUS,OLIVERA,461.297,899
2023,RIUDECANYES,OLIVERA,213.7512,416
2023,RIUDECOLS,AVELLANER,90.2870000000001,153
2023,RIUDOMS,OLIVERA,580.689499999999,1017
2023,SELVA DEL CAMP (LA),AVELLANER,917.0612,837
2023,VANDELLOS I L'HOSPITALET DE L'INFANT,GARROFER,96.9719,169
2023,VILANOVA D'ESCORNALBOU,OLIVERA,88.2995,160
2023,VILAPLANA,AVELLANER,74.2489,127
2023,VINYOLS I ELS ARCS,OLIVERA,186.3003,305
2024,ALBIOL (L'),VINYA,83.9033,100
2024,ALEIXAR (L'),AVELLANER,477.3661,535
2024,ALFORJA,AVELLANER,242.2206,355
2024,ALMOSTER,OLIVERA,41.0727,94
2024,ARBOLI,AVELLANER,22.6057,40
2024,ARGENTERA (L'),OLIVERA,0.3817,2
2024,BORGES DEL CAMP (LES),OLIVERA,61.0649,148
2024,BOTARELL,OLIVERA,425.824,456
2024,CAMBRILS,OLIVERA,347.0799,488
2024,CAPAFONTS,AVELLANER,25.9346,35
2024,CASTELLVELL DEL CAMP,OLIVERA,23.1005,93
2024,COLLDEJOU,AVELLANER,35.2273,52
2024,DUESAIGÜES,OLIVERA,19.3633,61
2024,FEBRO (LA),AVELLANER,12.2632,23
2024,MASPUJOLS,OLIVERA,26.8944,90
2024,MONT-ROIG DEL CAMP,OLIVERA,680.036799999999,845
2024,MONTBRIO DEL CAMP,OLIVERA,357.7318,306
2024,PRADES,AVELLANER,140.6094,148
2024,PRATDIP,AVELLANER,47.9261,94
2024,REUS,OLIVERA,484.6513,985
2024,RIUDECANYES,OLIVERA,208.7495,408
2024,RIUDECOLS,AVELLANER,96.2432,165
2024,RIUDOMS,OLIVERA,666.309899999999,1288
2024,SELVA DEL CAMP (LA),AVELLANER,852.7785,796
2024,VANDELLOS I L'HOSPITALET DE L'INFANT,GARROFER,94.637,181
2024,VILANOVA D'ESCORNALBOU,OLIVERA,98.4468999999999,166
2024,VILAPLANA,AVELLANER,71.9932,127
2024,VINYOLS I ELS ARCS,OLIVERA,211.9533,352
